9453,1,,20,train,29952,29952,0,32,624130
3959,1,,30,train,29952,29952,0,32,1248260
3257,1,,8,train,29952,29952,0,32,0
9127,1,,9,train,29952,29952,0,32,0
1126,1,,6,train,29952,29952,0,32,0
1742,2,,23,train,29952,29952,0,32,1248260
10042,2,,30,train,29952,29952,0,32,1248260
942,2,,22,train,29952,29952,0,32,624130
4906,2,,20,train,29952,29952,0,32,624130
434,2,,20,train,29952,29952,0,32,624130
6094,3,,29,train,29952,29952,0,32,1248260
6861,3,,20,train,29952,29952,0,32,624130
1550,3,,30,train,29952,29952,0,32,1248260
987,3,,30,train,29952,29952,0,32,1248260
471,3,,29,train,29952,29952,0,32,1248260
1125,4,,24,train,29952,29952,0,32,1248260
8144,4,,16,train,29952,29952,0,32,624130
114,4,,30,train,29952,29952,0,32,1248260
1002,4,,25,train,29952,29952,0,32,1248260
2716,4,,26,train,29952,29952,0,32,1248260
7027,5,,18,train,29952,29952,0,32,624130
6338,5,,6,train,29952,29952,0,32,0
4588,5,,12,train,29952,29952,0,32,624130
9403,5,,5,train,29952,29952,0,32,0
4096,5,,16,train,29952,29952,0,32,624130
439,6,,28,train,29952,29952,0,32,1248260
8493,6,,29,train,29952,29952,0,32,1248260
4358,6,,24,train,29952,29952,0,32,1248260
3830,6,,12,train,29952,29952,0,32,624130
5765,6,,30,train,29952,29952,0,32,1248260
8905,7,,30,train,29952,29952,0,32,1248260
8294,7,,28,train,29952,29952,0,32,1248260
2212,7,,7,train,29952,29952,0,32,0
67,7,,24,train,29952,29952,0,32,1248260
6742,7,,20,train,29952,29952,0,32,624130
317,8,,28,train,29952,29952,0,32,1248260
6349,8,,20,train,29952,29952,0,32,624130
7449,8,,30,train,29952,29952,0,32,1248260
3759,8,,22,train,29952,29952,0,32,624130
6818,8,,21,train,29952,29952,0,32,624130
9926,9,,30,train,29952,29952,0,32,1248260
3507,9,,29,train,29952,29952,0,32,1248260
8839,9,,22,train,29952,29952,0,32,624130
5393,9,,19,train,29952,29952,0,32,624130
5356,9,,22,train,29952,29952,0,32,624130
7704,10,,11,train,29952,29952,0,32,0
4831,10,,8,train,29952,29952,0,32,0
1753,10,,22,train,29952,29952,0,32,624130
9649,10,,5,train,29952,29952,0,32,0
1724,10,,22,train,29952,29952,0,32,624130
3746,11,,18,train,29952,29952,0,32,624130
7623,11,,23,train,29952,29952,0,32,1248260
5143,11,,20,train,29952,29952,0,32,624130
